84,11,tensor(2),{25: 0.010638, 2: 0.959795},117000,tensor([ 0.0008, -0.0283,  0.0227,  ..., -0.0164, -0.0237, -0.0003])
94,11,tensor(2),{25: 0.010638, 2: 1.0},117000,tensor([ 0.0028, -0.0295,  0.0228,  ..., -0.0180, -0.0237, -0.0003])
104,16,tensor(10),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199},117000,tensor([-0.0273, -0.0046,  0.0442,  ..., -0.0218, -0.0155,  0.0117])
397,6,tensor(8),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0},117000,tensor([ 0.0683, -0.0487,  0.0509,  ..., -0.0354, -0.0478,  0.0642])
407,25,tensor(7),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.32930800318717957},117000,tensor([ 0.0178, -0.0731,  0.0631,  ...,  0.0218, -0.0456,  0.0167])
417,25,tensor(7),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308},117000,tensor([ 0.0178, -0.0731,  0.0631,  ...,  0.0218, -0.0456,  0.0167])
427,25,tensor(7),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308},117000,tensor([ 0.0178, -0.0731,  0.0631,  ...,  0.0218, -0.0456,  0.0167])
437,25,tensor(7),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308},117000,tensor([ 0.0178, -0.0731,  0.0631,  ...,  0.0218, -0.0456,  0.0167])
447,25,tensor(7),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308},117000,tensor([ 0.0178, -0.0731,  0.0631,  ...,  0.0218, -0.0456,  0.0167])
457,1,tensor(28),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
478,1,tensor(28),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
488,1,tensor(28),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
508,2,tensor(3),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0},117000,tensor([ 0.0066, -0.0715,  0.0736,  ...,  0.0490, -0.0561,  0.0157])
518,2,tensor(3),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0},117000,tensor([ 0.0066, -0.0715,  0.0736,  ...,  0.0490, -0.0561,  0.0157])
528,2,tensor(3),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0},117000,tensor([ 0.0066, -0.0715,  0.0736,  ...,  0.0490, -0.0561,  0.0157])
548,2,tensor(3),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0},117000,tensor([ 0.0066, -0.0715,  0.0736,  ...,  0.0490, -0.0561,  0.0157])
558,18,tensor(31),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0},117000,tensor([-0.0111, -0.0912,  0.0814,  ...,  0.0285, -0.0624,  0.0190])
578,2,tensor(31),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0},117000,tensor([-0.0128, -0.0924,  0.0813,  ...,  0.0229, -0.0620,  0.0190])
588,2,tensor(31),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0},117000,tensor([-0.0126, -0.0924,  0.0805,  ...,  0.0217, -0.0620,  0.0190])
608,2,tensor(20),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
618,2,tensor(20),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
655,2,tensor(20),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 0.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
695,2,tensor(22),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0},117000,tensor([ 0.0126, -0.0916,  0.0839,  ...,  0.0607, -0.0670,  0.0190])
715,2,tensor(22),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 0.29041},117000,tensor([ 0.0126, -0.0916,  0.0839,  ...,  0.0607, -0.0670,  0.0190])
735,2,tensor(22),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0},117000,tensor([ 0.0126, -0.0916,  0.0839,  ...,  0.0607, -0.0670,  0.0190])
755,2,tensor(22),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 0.986842, 16: 0.0},117000,tensor([ 0.0126, -0.0916,  0.0839,  ...,  0.0607, -0.0670,  0.0190])
775,2,tensor(22),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 0.986842, 16: 0.119373},117000,tensor([ 0.0126, -0.0916,  0.0839,  ...,  0.0607, -0.0670,  0.0190])
795,4,tensor(19),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.17463},117000,tensor([-0.0281, -0.0382,  0.0534,  ...,  0.0476, -0.0518,  0.0146])
815,4,tensor(19),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.144544, 0: 0.0},117000,tensor([-0.0281, -0.0382,  0.0534,  ...,  0.0476, -0.0518,  0.0146])
836,4,tensor(19),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.144544, 0: 0.47962},117000,tensor([-0.0281, -0.0382,  0.0534,  ...,  0.0476, -0.0518,  0.0146])
856,4,tensor(19),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.144544, 0: 0.959795, 1: 0.011905},117000,tensor([-0.0281, -0.0382,  0.0534,  ...,  0.0476, -0.0518,  0.0146])
876,4,tensor(19),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.144544, 0: 0.959795, 1: 0.907895},117000,tensor([-0.0281, -0.0382,  0.0534,  ...,  0.0476, -0.0518,  0.0146])
896,11,tensor(16),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.3767470121383667, 0: 0.959795, 1: 0.972953},117000,tensor([-0.0074, -0.0385,  0.0641,  ..., -0.0126,  0.0008, -0.0047])
916,11,tensor(16),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 0.959795, 1: 0.986842, 24: 0.0},117000,tensor([-0.0074, -0.0385,  0.0641,  ..., -0.0126,  0.0008, -0.0047])
936,11,tensor(16),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 0.959795, 1: 0.986842, 24: 0.129195},117000,tensor([-0.0074, -0.0385,  0.0641,  ..., -0.0126,  0.0008, -0.0047])
956,11,tensor(16),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 0.959795, 1: 0.986842, 24: 0.190862, 13: 0.005952},117000,tensor([-0.0074, -0.0385,  0.0641,  ..., -0.0126,  0.0008, -0.0047])
976,11,tensor(16),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 0.959795, 1: 0.986842, 24: 0.190862, 13: 0.973684},117000,tensor([-0.0074, -0.0385,  0.0641,  ..., -0.0126,  0.0008, -0.0047])
996,1,tensor(0),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 0.986842, 24: 0.190862, 13: 1.0},117000,tensor([-0.0157, -0.0179,  0.0433,  ...,  0.0054, -0.0130, -0.0095])
1017,1,tensor(0),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 0.986842, 24: 0.190862, 13: 0.986842, 4: 0.0},117000,tensor([-0.0157, -0.0179,  0.0433,  ...,  0.0054, -0.0130, -0.0095])
1037,1,tensor(0),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 0.986842, 24: 0.190862, 13: 0.986842, 4: 0.959795},117000,tensor([-0.0157, -0.0179,  0.0433,  ...,  0.0054, -0.0130, -0.0095])
1057,1,tensor(0),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 0.986842, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 0.0},117000,tensor([-0.0157, -0.0179,  0.0433,  ...,  0.0054, -0.0130, -0.0095])
1077,1,tensor(0),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 0.986842, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 0.960526},117000,tensor([-0.0157, -0.0179,  0.0433,  ...,  0.0054, -0.0130, -0.0095])
1097,1,tensor(1),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 0.973684},117000,tensor([-0.0187, -0.0496,  0.0527,  ...,  0.0582, -0.0595,  0.0190])
1117,1,tensor(1),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.007143},117000,tensor([-0.0187, -0.0496,  0.0527,  ...,  0.0582, -0.0595,  0.0190])
1138,1,tensor(1),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.167121},117000,tensor([-0.0187, -0.0496,  0.0527,  ...,  0.0582, -0.0595,  0.0190])
1158,1,tensor(1),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.190862, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.005435},117000,tensor([-0.0187, -0.0496,  0.0527,  ...,  0.0582, -0.0595,  0.0190])
1198,5,tensor(24),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.36180099844932556, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.973684},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
1218,5,tensor(24),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.347222},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
1238,5,tensor(24),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.972953},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
1258,5,tensor(24),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.004902},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
1277,5,tensor(24),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 0.986842, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.932018},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
1296,1,tensor(13),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.961111},117000,tensor([ 0.0084, -0.0957,  0.0831,  ...,  0.0480, -0.0673,  0.0190])
1315,1,tensor(13),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.948684, 18: 0.005319},117000,tensor([ 0.0084, -0.0957,  0.0831,  ...,  0.0480, -0.0673,  0.0190])
1334,1,tensor(13),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.948684, 18: 0.934211},117000,tensor([ 0.0084, -0.0957,  0.0831,  ...,  0.0480, -0.0673,  0.0190])
1372,1,tensor(13),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.948684, 18: 1.0, 27: 0.593591},117000,tensor([ 0.0084, -0.0957,  0.0831,  ...,  0.0480, -0.0673,  0.0190])
1391,1,tensor(4),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.948684, 18: 1.0, 27: 0.958333},117000,tensor([-0.0201, -0.0457,  0.0542,  ...,  0.0618, -0.0670,  0.0177])
1410,1,tensor(4),{25: 0.010638, 2: 1.0, 10: 0.9590640068054199, 30: 0.8913879990577698, 17: 1.0, 12: 1.0, 29: 1.0, 8: 1.0, 7: 0.329308, 28: 1.0, 3: 1.0, 31: 1.0, 20: 1.0, 22: 1.0, 19: 1.0, 16: 0.376747, 0: 1.0, 1: 1.0, 24: 0.361801, 13: 1.0, 4: 1.0, 9: 1.0, 6: 0.189764, 5: 0.972953, 11: 0.936842, 26: 0.948684, 18: 1.0, 27: 0.986842, 14: 0.01891},117000,tensor([-0.0201, -0.0457,  0.0542,  ...,  0.0618, -0.0670,  0.0177])
